"Nom";"Licences - Entité";"Éditeur";"Versions - Nom";"Versions - Système d'exploitation";"Licences - Nombre d'installations";"Licences - Nombre de licences";
"{1FA41DBD-E8F8-46B1-A90C-1FA7E823DA58}";"Root entity";"PFU";"3.0.21.2
3.1.10.5";"Windows";"2";"0";
"{2759E245-A448-4E5D-8375-EACB1D94466C}";"Root entity";"PFU";"1.7.0.8";"Windows";"2";"0";
"{8024DD25-C1A9-407F-A4C8-FA6DD5B035C8}";"Root entity";"PFU";"1.7.0.3";"Windows";"2";"0";
"{f761359c-9ced-45ae-9a51-9d6605cd55c4}";"Root entity";"";"FSSH";"Windows";"1";"0";
"1527c705-839a-4832-9118-54d4Bd6a0c89";"Root entity";"Microsoft Corporation";"10.0.19041.1
10.0.18362.449";"Windows";"2";"0";
"3D Builder";"Root entity";"Microsoft Platform Extensions";"18.0.1931.0";"Windows";"1";"0";
"3D Builder";"Root entity";"Microsoft Corporation";"18.0.1931.0";"Windows";"1";"0";
"7-Zip 19.00 (x64)";"Root entity";"Igor Pavlov";"19.00";"Windows";"2";"0";
"ACR_12_1_32";"Root entity";"Adobe Systems Incorporated";"";"Windows";"1";"0";
"Adobe Acrobat DC";"Root entity";"Adobe Systems Incorporated";"20.006.20042";"Windows";"1";"0";
"Adobe AIR";"Root entity";"Adobe";"32.0.0.125";"Windows";"1";"0";
"Adobe AIR";"Root entity";"Adobe Systems Incorporated";"32.0.0.89";"Windows";"1";"0";
"Adobe Flash Player 32 NPAPI";"Root entity";"Adobe";"32.0.0.403";"Windows";"1";"0";
"Adobe Photoshop 2020";"Root entity";"Adobe Systems Incorporated";"21.0.2";"Windows";"1";"0";
"Adobe Refresh Manager";"Root entity";"Adobe Systems Incorporated";"1.8.0";"Windows";"1";"0";
"Adobe Shockwave Player 12.3";"Root entity";"Adobe Systems, Inc.";"12.3.4.204";"Windows";"1";"0";
"Advanced IP Scanner 2.5";"Root entity";"Famatech";"2.5.3850";"Windows";"2";"0";
"Advanced Port Scanner 2.5";"Root entity";"Famatech";"2.5.3869";"Windows";"1";"0";
"AMD Problem Report Wizard";"Root entity";"Advanced Micro Devices, Inc.";"3.1.723";"Windows";"1";"0";
"AMD Settings";"Root entity";"Advanced Micro Devices, Inc.";"2020.0131.1643.30093";"Windows";"1";"0";
"AMD Software";"Root entity";"Advanced Micro Devices, Inc.";"19.40.01.39-200131a-351676C-RadeonProEnterprise";"Windows";"1";"0";
"Angry IP Scanner";"Root entity";"Angry IP Scanner";"3.6.2";"Windows";"2";"0";
"AnyDesk";"Root entity";"philandro Software GmbH";"ad 5.4.2";"Windows";"1";"0";
"AOMEI Backupper";"Root entity";"";"";"Windows";"1";"0";
"AOMEI Backupper Professional";"Root entity";"AOMEI Technology Co., Ltd.";"";"Windows";"0";"0";
"AOMEI Backupper Professional Trial";"Root entity";"AOMEI Technology Co., Ltd.";"";"Windows";"1";"0";
"AOMEI Backupper Technician Plus Trial";"Root entity";"AOMEI Technology Co., Ltd.";"";"Windows";"1";"0";
"AOMEI OneKey";"Root entity";"";"";"Windows";"2";"0";
"AOMEI OneKey Recovery 1.6.1";"Root entity";"AOMEI Technology Co., Ltd.";"";"Windows";"1";"0";
"AOMEI OneKey Recovery 1.6.2";"Root entity";"AOMEI Technology Co., Ltd.";"";"Windows";"1";"0";
"AOMEI Partition Assistant Standard Edition 8.4";"Root entity";"AOMEI Technology Co., Ltd.";"";"Windows";"1";"0";
"AOMEI Partition Assistant Standard Edition 8.6";"Root entity";"AOMEI Technology Co., Ltd.";"";"Windows";"1";"0";
"Aomei Partition Assistant_is1";"Root entity";"";"";"Windows";"2";"0";
"AOMEI PXE Boot Free";"Root entity";"";"";"Windows";"1";"0";
"AOMEI PXE Boot Free 1.5";"Root entity";"AOMEI Technology Co., Ltd.";"";"Windows";"1";"0";
"Aperçu de code-barres Windows";"Root entity";"Microsoft Corporation";"10.0.19041.1
10.0.18362.449";"Windows";"2";"0";
"App connector";"Root entity";"Microsoft Platform Extensions";"1.3.3.0";"Windows";"1";"0";
"App connector";"Root entity";"Microsoft Corporation";"1.3.3.0";"Windows";"1";"0";
"App Installer";"Root entity";"Microsoft Platform Extensions";"1.0.32912.0";"Windows";"1";"0";
"App Installer";"Root entity";"Microsoft Corporation";"1.0.41821.0";"Windows";"1";"0";
"Appel";"Root entity";"Microsoft Corporation";"1000.19041.1.0
1000.18362.449.0";"Windows";"2";"0";
"Apple Application Support (64 bits)";"Root entity";"Apple Inc.";"8.3
8.0";"Windows";"2";"0";
"Apple Mobile Device Support";"Root entity";"Apple Inc.";"13.0.0.41";"Windows";"1";"0";
"Apple Software Update";"Root entity";"Apple Inc.";"2.6.3.1";"Windows";"1";"0";
"Application de verrouillage pour accès affecté";"Root entity";"Microsoft Corporation";"1000.19041.1.0
1000.18362.449.0";"Windows";"2";"0";
"Artisteer 4";"Root entity";"Extensoft";"4.3";"Windows";"1";"0";
"Assistant Mise à jour de Windows 10";"Root entity";"Microsoft Corporation";"1.4.9200.22925";"Windows";"1";"0";
"AsyncTextService";"Root entity";"Microsoft Platform Extensions";"10.0.19041.1";"Windows";"1";"0";
"AsyncTextService";"Root entity";"Microsoft Corporation";"10.0.18362.449";"Windows";"1";"0";
"Attribute Changer 9.50a";"Root entity";"Romain Petges";"9.50a";"Windows";"1";"0";
"AVS Video Editor 9.1.1";"Root entity";"Online Media Technologies Ltd.";"9.1.1.336";"Windows";"1";"0";
"balenaEtcher 1.5.50";"Root entity";"Balena Inc.";"1.5.50";"Windows";"1";"0";
"Batch Image Manipulation Plugin for GIMP";"Root entity";"Alessandro Francesconi";"2.0";"Windows";"1";"0";
"Bitwarden";"Root entity";"Bitwarden Inc.";"1.19.0
1.20.0";"Windows";"1";"0";
"Bitwarden";"Root entity";"8bit Solutions LLC";"1.16.6";"Windows";"2";"0";
"Boîte de dialogue Ajouter des suggestions de dossier";"Root entity";"Microsoft Corporation";"10.0.19041.1
10.0.18362.449";"Windows";"2";"0";
