"Device Name","Scan Status","IP Address","Ping(ms)","Device Type Hint","Operating System (combined)","SMB Security","Brand","Group Name","MAC Address","Estimated Manufacture Year","Uptime","Discovered By","Detected IPs","Time Of Day","OS","OS Bits","OS Edition","OS Service Pack","OS Build","Description (Local)","Reverse DNS","NetBIOS Name","FQDN","Best Accessible By","Total Share GB","Boot Date","Username","SQL Server Info","Ping Attempts","Ping TTL","Est. Hops","Clock GMT Offset","Clock Difference","Scan Start Time","Scan Completed"
"192.168.17.x (2 devices, 1 unpingable)","Scan Complete","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","12/03/2020 16:51:08"
"PCP-varPC-Tech","Scan Done (35 sec)","192.168.17.1","0","Windows Laptop","Windows 10 Professionnel (64-bit) (build 18362)","SMBv1+SMBv2 Enabled (ADMIN$ access)","Hewlett-Packard","WORKGROUP","AC-B5-7D-EB-66-B2","2015 - 70% (2014-2016)","-01h00m02s","Ping (0 ms)","192.168.17.1, 192.168.80.1, 192.168.1.39","12/03/2020 16:49:30","Windows 10","64","Professionnel","0","18362","Accueil WAMPSERVER","PCP-varPC-Tech","PCP-varPC-Tech","","PCP-VARPC-TECH","217","03/03/2020 05:25:50","Alexandre","","1","128","1","1","0","12/03/2020 16:49:16","12/03/2020 16:49:53"
"Vmware","Scan Done (112 sec) Unpingable?","192.168.17.254","-1","Unknown VM","Unknown","SMB Not Found","VMWare","","00-50-56-E8-87-97","N/A","","Ping (-1 ms)","","","Unknown","","","0","","","","","","","","","","","1","","","","0","12/03/2020 16:49:16","12/03/2020 16:51:08"
"192.168.80.x (2 devices, 1 unpingable)","Scan Complete","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","12/03/2020 16:51:36"
"PCP-varPC-Tech","Scan Done (36 sec)","192.168.80.1","0","Windows Laptop","Windows 10 Professionnel (64-bit) (build 18362)","SMBv1+SMBv2 Enabled (ADMIN$ access)","Hewlett-Packard","WORKGROUP","AC-B5-7D-EB-66-B2","2015 - 70% (2014-2016)","-01h00m01s","Ping (0 ms)","192.168.17.1, 192.168.80.1, 192.168.1.39","12/03/2020 16:49:49","Windows 10","64","Professionnel","0","18362","Accueil WAMPSERVER","PCP-varPC-Tech","PCP-varPC-Tech","","PCP-VARPC-TECH","217","03/03/2020 05:25:50","Alexandre","","1","128","1","1","0","12/03/2020 16:49:34","12/03/2020 16:50:10"
"Vmware","Scan Done (121 sec) Unpingable?","192.168.80.254","-1","Unknown VM","Unknown","SMB Not Found","VMWare","","00-50-56-F0-A4-8A","N/A","","Ping (-1 ms)","","","Unknown","","","0","","","","","","","","","","","1","","","","0","12/03/2020 16:49:34","12/03/2020 16:51:36"
"192.168.1.x (26 devices, 5 unpingable)","Scan Complete","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","12/03/2020 16:52:00"
"Oneaccess Rapid Logic 1.1","Scan Done (96 sec)","192.168.1.1","37","Gateway","Linux","SMB Not Found","OneAccess","","00-12-EF-63-C7-09","2011 - 21% (2004-2020)","","Ping (37 ms)","","","Linux","","","0","","","","","","","","","","","1","64","1","","0","12/03/2020 16:49:44","12/03/2020 16:51:21"
"Pegatron","Scan Done (99 sec) Unpingable?","192.168.1.9","-1","Unknown","Unknown","SMB Not Found","Pegatron","","E0-69-95-BF-39-81","2014 - 45% (2010-2015)","","Ping (-1 ms)","","","Unknown","","","0","","","","","","","","","","","2","","","","0","12/03/2020 16:50:03","12/03/2020 16:51:43"
"Formule1","Scan Done (59 sec)","192.168.1.10","88","Mac (80%)","OSX","SMB Not Found","Apple","WORKGROUP","90-84-0D-E8-C9-8F","2010 - 84% (2009-2010)","112d08h17m40s","Ping (88 ms)","192.168.1.10","","OSX","","","0","","50-34-10-70 Formule1","FORMULE1","FORMULE1","","","","21/11/2019 08:33:04","","","1","255","1","","0","12/03/2020 16:49:45","12/03/2020 16:50:44"
"Samsung","Scan Done (106 sec)","192.168.1.12","334","Unknown","Linux","SMB Not Found","Samsung","","24-FC-E5-82-DE-71","2018 - 96%","","Ping (334 ms)","","","Linux","","","0","","","","","","","","","","","1","64","1","","0","12/03/2020 16:49:45","12/03/2020 16:51:31"
